,City,Lat,Lng,Max Temp(F),Humidity,Cloudiness,Wind Speed,Country,Date
86,Cockburn Town,21.46,-71.14,77.0,73,20,4.7,TC,1607304198
87,Kaitangata,-46.28,169.85,65.79,44,52,8.14,NZ,1607304162
88,Cap Malheureux,-19.98,57.61,77.0,80,9,3.0,MU,1607304359
89,Vila Velha,-20.33,-40.29,78.8,78,75,11.41,BR,1607304154
90,Saskylakh,71.92,114.08,-8.91,90,100,6.17,RU,1607303962
91,Philadelphia,39.95,-75.16,37.4,51,1,12.75,US,1607304202
92,Khatanga,71.97,102.5,-18.17,88,31,4.41,RU,1607303883
93,San Francisco,37.77,-122.42,57.2,67,40,14.99,US,1607303690
94,Campo Grande,-20.44,-54.65,71.6,94,75,6.93,BR,1607304367
95,Vestmannaeyjar,63.44,-20.27,43.07,79,100,33.17,IS,1607303961
96,Pericos,25.05,-107.7,73.4,35,5,9.17,MX,1607304369
97,Esperance,-33.87,121.9,62.6,55,46,6.93,AU,1607303960
98,Port Hawkesbury,45.62,-61.35,41.0,80,75,12.75,CA,1607304202
99,Chernyshevskiy,63.01,112.47,-12.82,89,0,5.79,RU,1607304373
100,Rørvik,64.86,11.24,40.95,77,100,13.6,NO,1607304164
101,Sinzheim,48.76,8.17,39.2,93,100,9.17,DE,1607304376
102,Kampene,-3.6,26.67,66.81,97,2,1.34,CD,1607304377
103,Henties Bay,-22.12,14.28,61.0,86,9,0.47,NA,1607303995
104,Trairi,-3.28,-39.27,80.08,79,100,10.2,BR,1607304379
105,Faanui,-16.48,-151.75,80.78,71,76,9.1,PF,1607303880
106,Kapit,2.02,112.93,78.1,90,100,1.1,MY,1607304381
107,Tirumullaivāsal,11.23,79.83,75.38,90,99,1.36,IN,1607304382
108,Mazabuka,-15.86,27.75,67.37,92,100,1.12,ZM,1607304383
109,Xining,36.62,101.77,15.75,85,54,2.93,CN,1607303950
110,Tiruchchendur,8.48,78.12,76.91,90,100,5.84,IN,1607304386
111,Hambantota,6.12,81.12,71.6,100,5,2.24,LK,1607303962
112,Megion,61.03,76.11,15.8,85,90,11.18,RU,1607304388
113,Montevideo,-34.83,-56.17,64.4,59,0,13.87,UY,1607304213
114,Pitimbu,-7.47,-34.81,78.8,83,20,8.05,BR,1607303998
115,San Cristobal,7.77,-72.22,82.4,69,40,2.24,VE,1607303979
116,Ixtapa,20.7,-105.2,73.4,83,90,2.24,MX,1607304211
117,Petropavlovka,50.61,105.32,-2.74,83,0,4.5,RU,1607304393
118,Butaritari,3.07,172.79,81.18,80,10,14.23,KI,1607303963
119,Orissaare,58.56,23.08,39.0,53,100,13.0,EE,1607304395
120,Khovd,48.01,91.64,-1.28,81,7,0.6,MN,1607304397
121,Saint-Augustin,51.23,-58.65,34.56,96,100,20.98,CA,1607303961
122,Lavrentiya,65.58,-171.0,15.31,93,6,10.76,RU,1607303880
123,Vanimo,-2.67,141.3,77.7,85,99,6.2,PG,1607304228
124,Mezen',65.85,44.24,35.22,97,100,6.4,RU,1607304199
125,Longyearbyen,78.22,15.64,28.4,86,90,19.46,SJ,1607303960
126,Port Macquarie,-31.43,152.92,75.2,57,100,4.7,AU,1607304405
127,Chokurdakh,70.63,147.92,-23.26,86,98,3.87,RU,1607303906
128,Płock,52.55,19.71,35.6,74,75,18.34,PL,1607304407
129,Lamar,33.67,-95.58,46.4,61,1,5.82,US,1607304408
130,Puerto Madryn,-42.77,-65.04,84.7,19,100,23.35,AR,1607304409
131,Takoradze,4.88,-1.76,78.89,83,0,7.18,GH,1607304411
132,Kavieng,-2.57,150.8,85.5,67,2,11.05,PG,1607304203
133,São João da Barra,-21.64,-41.05,75.25,89,100,11.52,BR,1607304244
134,Sinnamary,5.38,-52.95,78.46,86,100,8.37,GF,1607303888
135,Lyaskelya,61.77,31.02,34.2,86,100,10.11,RU,1607304416
136,Caravelas,-17.71,-39.25,75.06,83,100,7.14,BR,1607304144
137,Tuatapere,-46.13,167.68,66.99,61,0,5.01,NZ,1607304197
138,Khudumelapye,-23.88,24.75,66.2,78,65,7.54,BW,1607304419
139,Talnakh,69.49,88.4,12.2,92,90,17.9,RU,1607303883
140,San Quintín,30.48,-115.95,60.24,56,0,6.69,MX,1607304179
141,Torbay,47.67,-52.73,50.0,100,90,11.41,CA,1607304164
142,Kununurra,-15.77,128.73,87.8,70,40,4.7,AU,1607303875
143,Port-Gentil,-0.72,8.78,78.94,84,100,8.52,GA,1607304178
144,Kruisfontein,-34.0,24.73,66.99,93,100,8.01,ZA,1607304145
145,Arraial do Cabo,-22.97,-42.03,77.0,94,75,12.75,BR,1607303903
146,‘Ewa Beach,21.32,-158.01,84.2,58,90,14.99,US,1607304428
147,Kloulklubed,7.04,134.26,82.4,83,75,4.7,PW,1607304429
148,Meulaboh,4.14,96.13,78.21,81,100,2.71,ID,1607304145
149,Vega de Alatorre,20.03,-96.63,62.73,73,99,16.78,MX,1607304431
150,Sīwah,29.2,25.52,64.96,27,89,1.88,EG,1607304432
151,Siderno,38.28,16.3,53.01,97,85,1.99,IT,1607304433
152,Sault Ste. Marie,46.52,-84.33,28.4,86,90,3.36,CA,1607304325
153,Qasigiannguit,68.82,-51.19,23.0,49,100,16.11,GL,1607304436
154,Saint-Joseph,-21.37,55.62,75.2,73,75,5.82,RE,1607304143
155,Hasaki,35.73,140.83,54.0,81,20,3.36,JP,1607303963
156,Cabo San Lucas,22.89,-109.91,71.6,56,5,8.05,MX,1607304175
157,Portland,45.52,-122.68,46.99,81,90,1.19,US,1607303998
158,Singaraja,-8.11,115.09,83.73,74,100,11.52,ID,1607304159
159,Nabire,-3.37,135.48,85.6,68,58,1.68,ID,1607304442
160,Saint John,45.27,-66.07,32.0,92,90,13.87,CA,1607304443
161,Codrington,-38.27,141.97,56.46,63,59,21.34,AU,1607303880
162,San Patricio,28.02,-97.52,59.0,71,1,6.93,US,1607304183
163,Sivas Province,39.79,37.0,24.8,85,0,5.82,TR,1607304446
164,Aklavik,68.22,-135.01,-2.2,77,100,2.73,CA,1607304447
165,Avarua,-21.21,-159.78,84.2,74,83,13.87,CK,1607303886
166,Roald,62.58,6.13,39.2,86,100,10.29,NO,1607304450
167,Kieta,-6.22,155.63,85.71,66,56,3.91,PG,1607304143
168,Tiksi,71.69,128.87,-13.32,89,100,3.71,RU,1607303962
169,Tateyama,34.98,139.87,57.2,71,20,9.17,JP,1607304454
170,West Wendover,40.74,-114.07,26.6,45,1,2.21,US,1607304455
171,Oranjemund,-28.55,16.43,63.09,82,70,8.88,NA,1607304456
172,Thompson,55.74,-97.86,17.6,100,90,6.93,CA,1607304154
173,Jutaí,-5.18,-68.9,70.99,96,100,2.21,BR,1607304458
174,Kawalu,-7.38,108.21,74.71,87,100,0.51,ID,1607304459
175,Narsaq,60.92,-46.05,28.4,58,16,9.17,GL,1607304141
176,Quatre Cocos,-20.21,57.76,77.0,83,20,8.05,MU,1607304462
177,Sovetskiy,61.36,63.58,21.85,95,94,8.21,RU,1607304463
178,Shelui,-4.37,34.2,70.93,67,47,1.03,TZ,1607304464
179,Fayaoué,-20.65,166.53,79.52,82,14,17.76,NC,1607304465
180,Parma,44.8,10.33,39.99,90,83,1.01,IT,1607304466
181,Kawambwa,-9.79,29.08,62.69,94,2,1.34,ZM,1607304467
182,Rock Sound,24.9,-76.2,75.83,71,98,9.93,BS,1607304468
183,Anchorage,61.22,-149.9,25.0,72,90,5.82,US,1607303918
184,Kampot,10.62,104.18,82.4,58,0,9.17,KH,1607304471
185,Mola di Bari,41.06,17.09,50.0,85,100,4.0,IT,1607304472
186,Vigo,42.23,-8.72,60.01,93,75,11.41,ES,1607304474
187,Ponta Delgada,37.73,-25.67,59.0,82,75,2.24,PT,1607304475
188,Batavia,41.85,-88.31,36.0,74,90,5.82,US,1607304249
189,Madingou,-4.15,13.55,72.21,91,100,1.79,CG,1607304477
190,Nanortalik,60.14,-45.24,30.85,94,48,6.89,GL,1607304174
191,Tolbazy,54.02,55.88,-4.0,83,0,4.47,RU,1607304479
192,Paciran,-6.88,112.38,82.33,82,100,19.48,ID,1607303890
193,Mar del Plata,-38.0,-57.56,64.0,72,0,9.17,AR,1607304022
194,Plettenberg Bay,-34.05,23.37,66.7,89,93,19.86,ZA,1607304149
195,Khani,41.96,42.96,46.4,52,0,28.86,GE,1607304217
196,Pisco,-13.7,-76.22,66.2,82,0,18.34,PE,1607303665
197,Manokwari,-0.87,134.08,84.09,70,100,0.72,ID,1607304355
198,Bend,44.06,-121.32,36.0,82,1,2.08,US,1607304487
199,Chui,-33.7,-53.46,56.68,73,7,5.7,UY,1607304157
200,Nueve de Julio,-35.44,-60.88,66.99,45,0,9.19,AR,1607304381
201,Atbasar,51.8,68.33,-1.84,90,100,2.82,KZ,1607304490
202,Kavaratti,10.57,72.64,82.45,75,100,14.03,IN,1607304201
203,Khorramshahr,30.44,48.17,53.6,93,0,4.7,IR,1607304493
204,Moundsville,39.92,-80.74,34.0,68,90,3.36,US,1607304495
205,Laguna,38.42,-121.42,57.2,44,1,3.36,US,1607304057
206,Sayyan,15.17,44.32,49.87,65,38,2.62,YE,1607304497
207,Voznesen'ye,61.01,35.48,32.27,85,7,11.41,RU,1607304498
208,São José da Coroa Grande,-8.9,-35.15,76.71,78,84,9.62,BR,1607304499
209,Shimorskoye,55.32,42.03,17.37,93,0,4.59,RU,1607304500
210,Opuwo,-18.06,13.84,66.07,26,0,7.09,NA,1607304501
211,Quelimane,-17.88,36.89,80.6,83,75,2.24,MZ,1607304163
212,Lüderitz,-26.65,15.16,59.13,82,0,13.85,NA,1607304182
213,Bengkulu,-3.8,102.27,78.96,81,4,4.63,ID,1607304387
214,Gold Coast,-28.0,153.43,82.99,88,90,9.17,AU,1607304490
215,Gillette,44.29,-105.5,39.99,34,1,8.05,US,1607304303
216,Alofi,-19.06,-169.92,86.0,70,75,13.87,NU,1607304109
217,Katsuura,35.13,140.3,55.99,62,20,4.7,JP,1607304179
218,Vila,42.03,-8.16,50.0,96,100,8.99,PT,1607304216
219,Lovozero,68.0,35.01,25.21,97,100,5.03,RU,1607304511
220,Hermanus,-34.42,19.23,64.99,87,100,8.01,ZA,1607304140
221,Howell,42.61,-83.93,28.4,79,90,5.82,US,1607304513
222,Itupiranga,-5.13,-49.33,78.8,100,0,2.19,BR,1607304514
223,Jos,9.92,8.9,65.71,32,20,1.72,NG,1607304515
224,Cidreira,-30.18,-50.21,65.86,88,100,19.22,BR,1607303955
225,Cayenne,4.93,-52.33,77.0,100,0,8.23,GF,1607304226
226,Tura,25.52,90.22,60.44,80,0,2.55,IN,1607304159
227,Diego de Almagro,-26.37,-70.05,58.96,41,0,1.03,CL,1607304521
228,Mitzic,0.78,11.55,68.63,99,38,2.77,GA,1607304522
229,Maheshwar,22.18,75.58,59.0,62,0,3.36,IN,1607304523
230,Severo-Kuril'sk,50.68,156.12,27.86,90,100,10.04,RU,1607304167
231,Alta Floresta,-9.88,-56.09,71.11,95,100,1.7,BR,1607304525
232,Mana,5.66,-53.78,78.51,86,100,8.86,GF,1607304526
233,Brae,60.4,-1.35,44.6,81,0,9.17,GB,1607304157
234,Saint George,37.1,-113.58,52.0,19,1,3.36,US,1607304528
235,Lata,40.16,-8.33,51.01,95,86,5.01,PT,1607304529
236,Rawson,-43.3,-65.1,84.0,19,14,19.44,AR,1607304530
237,Canyon Lake,29.88,-98.26,53.01,67,0,7.94,US,1607304532
238,Cherskiy,68.75,161.3,-0.24,93,100,1.97,RU,1607304533
239,Krasnyy Kut,50.95,46.97,8.04,94,0,6.35,RU,1607304534
240,North Platte,41.12,-100.77,33.8,55,1,4.09,US,1607304193
241,Carnarvon,-24.87,113.63,91.4,14,0,12.75,AU,1607304537
242,Korla,41.76,86.15,23.9,86,89,1.61,CN,1607304198
243,Guánica,17.97,-66.91,75.99,84,89,5.68,PR,1607304330
244,Saint-François,46.42,3.91,39.0,100,90,2.24,FR,1607304541
245,Santa Isabel Rio Negro,-0.41,-65.02,74.12,97,91,1.36,BR,1607304386
246,Leningradskiy,69.38,178.42,10.85,88,96,0.96,RU,1607303957
247,Rocha,-34.48,-54.33,52.07,88,0,4.36,UY,1607304296
248,Labuhan,-6.88,112.21,82.47,81,100,19.73,ID,1607303961
249,Yerbogachën,61.28,108.01,8.13,94,100,9.15,RU,1607304222
250,Ostrovnoy,68.05,39.51,28.65,90,100,5.53,RU,1607304548
251,Esmeraldas,-19.76,-44.31,73.4,88,20,5.82,BR,1607304549
252,Nāgod,24.57,80.6,61.77,45,0,3.4,IN,1607304550
253,Khandyga,62.67,135.6,-17.75,86,100,4.41,RU,1607304551
254,Craig,40.52,-107.55,32.0,53,1,1.5,US,1607304553
255,Srednekolymsk,67.45,153.68,-23.85,86,100,2.06,RU,1607304172
256,Ilulissat,69.22,-51.1,23.0,49,100,16.11,GL,1607304175
257,Khandagayty,50.73,92.05,-5.89,87,89,3.13,RU,1607304556
258,Cervo,43.67,-7.41,54.0,92,100,5.99,ES,1607304557
259,Nhulunbuy,-12.23,136.77,89.6,55,40,8.05,AU,1607304558
260,Villanueva de la Serena,38.98,-5.8,48.99,91,87,8.99,ES,1607304262
261,Souillac,-20.52,57.52,75.2,83,20,8.05,MU,1607304560
262,East London,-33.02,27.91,70.34,91,100,17.63,ZA,1607304561
263,Massaguet,12.48,15.44,68.0,45,91,4.7,TD,1607304562
264,Leer,8.3,30.14,75.42,21,2,6.13,SS,1607304563
265,Sept-Îles,50.2,-66.38,28.4,74,100,20.8,CA,1607304566
266,Americus,32.07,-84.23,55.4,82,90,3.36,US,1607304544
267,Marystown,47.17,-55.15,46.42,88,100,5.88,CA,1607304568
268,Tarquinia,42.25,11.76,43.0,98,78,7.92,IT,1607304569
269,Giohar,2.78,45.5,73.72,85,0,5.26,SO,1607304570
270,Avera,33.19,-82.53,50.0,100,75,5.5,US,1607304203
271,Ponta do Sol,32.67,-17.1,59.0,77,40,3.36,PT,1607303983
272,Port Blair,11.67,92.75,80.2,73,0,11.05,IN,1607304178
273,Shalakusha,62.22,40.25,24.85,95,88,6.64,RU,1607304574
274,Inuvik,68.35,-133.72,-2.2,77,100,0.94,CA,1607304560
275,Tasiilaq,65.61,-37.64,26.6,63,99,13.87,GL,1607304577
276,Port Hardy,50.7,-127.42,51.8,76,90,11.41,CA,1607304578
277,Ilinge,-31.98,27.04,57.33,94,100,0.96,ZA,1607304580
278,Monster,52.03,4.17,43.0,92,100,5.01,NL,1607304582
279,Satara,17.68,73.98,59.68,57,100,2.28,IN,1607304584
280,Terney,45.05,136.61,22.71,85,4,7.83,RU,1607304585
281,Kiruna,67.86,20.23,12.2,92,75,3.27,SE,1607304586
282,Eilat,29.56,34.95,59.0,67,0,2.1,IL,1607304441
283,Broken Hill,-31.95,141.43,68.0,34,40,17.22,AU,1607304165
284,Vao,-22.67,167.48,77.31,84,44,16.8,NC,1607304591
285,Benjamín Aceval,-24.97,-57.57,73.4,60,0,8.05,PY,1607304592
286,College,64.86,-147.8,6.8,71,90,8.05,US,1607304162
287,Salalah,17.02,54.09,73.4,73,40,3.36,OM,1607304474
288,Novaya Ladoga,60.1,32.3,28.0,20,0,16.04,RU,1607304595
289,Sabzawār,36.21,57.68,38.26,79,97,6.69,IR,1607304596
290,Ati,13.22,18.34,76.89,18,31,8.41,TD,1607304597
291,Vanavara,60.34,102.28,9.12,95,100,11.07,RU,1607304598
292,Fort Nelson,58.81,-122.7,21.2,92,75,6.93,CA,1607304599
293,Kozhevnikovo,56.26,83.97,9.0,88,100,8.01,RU,1607304601
294,Águas Formosas,-17.08,-40.94,70.52,92,93,3.09,BR,1607304603
295,Sungurlu,40.17,34.37,38.75,74,0,3.22,TR,1607304604
296,Lake Cowichan,48.83,-124.05,50.0,81,90,3.36,CA,1607304600
297,Manaure,11.78,-72.44,80.76,80,66,15.7,CO,1607304607
298,Kudahuvadhoo,2.67,72.89,82.49,77,67,12.3,MV,1607304608
299,Karaton,-6.34,106.1,80.01,94,40,13.87,ID,1607304609
300,São Félix do Xingu,-6.64,-51.99,74.08,92,100,0.98,BR,1607304383
301,Chancay,-11.57,-77.27,66.2,82,40,12.75,PE,1607304440
302,Vostok,46.49,135.88,9.68,94,98,5.32,RU,1607304193
303,Tarakan,3.3,117.63,80.44,80,100,7.52,ID,1607304384
304,Bathsheba,13.22,-59.52,78.8,74,20,12.75,BB,1607304615
305,Olinda,-8.01,-34.86,78.8,69,40,9.17,BR,1607304616
306,Constitución,-35.33,-72.42,52.52,91,63,6.71,CL,1607304617
307,Saint-Philippe,-21.36,55.77,75.2,73,75,5.82,RE,1607304618
308,Fare,-16.7,-151.02,80.83,74,100,10.51,PF,1607304200
309,Presidencia Roque Sáenz Peña,-26.79,-60.44,64.44,74,0,4.85,AR,1607304622
310,Port Hedland,-20.32,118.57,91.4,59,14,14.99,AU,1607304623
311,Camacha,33.08,-16.33,60.8,72,40,10.29,PT,1607304206
312,Sidi Ali,36.1,0.42,49.93,71,0,9.93,DZ,1607304625
313,São Francisco,-15.95,-44.86,71.28,90,100,3.29,BR,1607304626
314,Sitka,57.05,-135.33,46.4,87,90,21.92,US,1607304597
315,Prado,-17.34,-39.22,75.2,83,87,8.68,BR,1607304628
316,Gondanglegi,-7.75,112.01,83.62,74,42,12.5,ID,1607304629
317,Corpus Christi,27.8,-97.4,60.01,71,1,6.93,US,1607304396
318,Beyneu,45.32,55.2,9.72,90,0,7.65,KZ,1607304632
319,Maniitsoq,65.42,-52.9,26.24,98,100,14.18,GL,1607304633
320,Ahipara,-35.17,173.17,72.27,68,98,12.46,NZ,1607304213
321,Concepción del Oro,24.63,-101.42,38.16,68,0,7.29,MX,1607304635
322,Arlit,18.74,7.39,73.27,22,0,1.72,NE,1607304188
323,Sibu,2.3,111.82,82.4,88,40,3.36,MY,1607304638
324,Belmonte,-15.86,-38.88,77.0,78,0,6.93,BR,1607304172
325,Maciel,-32.46,-60.89,69.01,52,0,5.82,AR,1607304640
326,Port Lincoln,-34.73,135.87,60.44,54,88,23.98,AU,1607304615
327,Bay Roberts,47.6,-53.26,50.0,100,90,11.41,CA,1607304643
328,Ternate,0.8,127.4,86.22,63,89,0.94,ID,1607304644
329,Tobol,52.68,62.58,11.12,91,87,6.24,KZ,1607304645
330,Richards Bay,-28.78,32.04,69.57,93,21,6.76,ZA,1607304169
331,Westport,41.14,-73.36,34.0,67,0,15.01,US,1607304492
332,Yagodnoye,62.55,149.67,-16.92,83,100,2.8,RU,1607304648
333,Colares,38.8,-9.45,59.0,100,47,18.54,PT,1607304647
334,Mmathubudukwane,-24.6,26.43,66.2,93,0,6.93,BW,1607304650
335,Babol,36.55,52.68,48.67,82,100,8.88,IR,1607304616
336,Lagoa,39.05,-27.98,60.6,72,100,8.14,PT,1607304626
337,Luanshya,-13.14,28.42,65.07,95,98,2.71,ZM,1607304654
338,Pevek,69.7,170.31,5.11,94,100,1.57,RU,1607303902
339,Alyangula,-13.85,136.42,89.6,59,79,13.87,AU,1607304656
340,Bubaque,11.28,-15.83,81.88,66,0,11.05,GW,1607303980
341,Ballitoville,-29.54,31.21,69.8,83,0,3.36,ZA,1607304659
342,Kralendijk,12.15,-68.27,82.4,78,92,14.99,BQ,1607304613
343,São Desidério,-12.36,-44.97,73.18,67,3,1.5,BR,1607304661
344,Mabaruma,8.2,-59.78,74.68,93,0,3.87,GY,1607304663
345,Teya,60.38,92.63,7.79,90,100,14.63,RU,1607304664
346,Hithadhoo,-0.6,73.08,82.09,79,7,17.25,MV,1607304617
347,Soyo,-6.13,12.37,77.29,87,95,6.29,AO,1607304666
348,Hamilton,39.18,-84.53,37.4,69,90,6.93,US,1607304199
349,Amga,60.9,131.96,-1.57,92,100,2.33,RU,1607304668
350,Maţāy,28.42,30.78,60.3,32,3,10.54,EG,1607304669
351,Botngård,63.77,9.81,39.99,74,0,10.29,NO,1607304670
352,Saint-Ambroise,48.55,-71.33,25.0,100,100,13.87,CA,1607304671
353,São Joaquim,-28.29,-49.93,52.21,100,95,4.41,BR,1607304672
354,Moindou,-21.69,165.68,89.6,46,20,13.87,NC,1607304673
355,Punta de Piedra,7.62,-71.49,72.14,93,26,2.53,VE,1607304675
356,Mlimba,-8.8,35.82,72.01,77,5,3.44,TZ,1607304676
357,Surab,28.49,66.26,48.07,55,42,4.21,PK,1607304677
358,Province of Trapani,37.83,12.67,57.0,87,75,18.34,IT,1607304678
359,Pilar,-9.6,-35.96,73.4,88,20,2.24,BR,1607304679
360,Niamey,13.51,2.11,78.8,27,0,6.15,NE,1607304680
361,Tam Ky,15.57,108.48,69.8,94,90,1.12,VN,1607304682
362,Shakawe,-18.37,21.85,72.86,75,100,6.91,BW,1607304211
363,Hailey,43.52,-114.32,33.8,50,5,4.7,US,1607304686
364,Bethel,41.37,-73.41,30.99,68,0,1.01,US,1607303906
365,Baghmara,23.8,86.21,67.57,44,0,4.0,IN,1607304688
366,Altoona,40.52,-78.39,30.0,72,73,1.99,US,1607304689
367,Broome,42.25,-75.83,28.99,79,90,10.29,US,1607304652
368,Zyryanka,65.75,150.85,-27.94,86,62,2.15,RU,1607304166
369,Innisfail,-17.53,146.03,87.31,54,68,10.51,AU,1607304693
370,Santa Lucía,27.91,-15.54,61.0,87,40,19.46,ES,1607304694
371,Oriximiná,-1.77,-55.87,76.6,88,100,5.23,BR,1607304192
